stars,date,type,short_d,content,product_name,name
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Mahogany,Good starter kit,This has all you need to start learning the Ukulele!,everjoys-Soprano,Tamra
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Rainbow String,Fun and easy to learn how to use.,Good quality for price.Arrived quickly.,everjoys-Soprano,BLF
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Honey,Looks great,It was purchased as a gift.,everjoys-Soprano,DaMizan
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Honey,Best gift,I bought it for my daughterShe really enjoyed itThank you,everjoys-Soprano,Gereltsetseg Ganbat
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Honey,no headline,great,everjoys-Soprano,Julie Ann Mcrae
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Pink,Pink Ukulele - great.,For a five year old birthday girl. She loved it.,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Mahogany,Learning to play the ukelele at age 77,I liked how nicely it was packaged and the accessories that came with it,everjoys-Soprano,Susan Cote
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Rainbow String,Pretty instrument,"Arrived on time, in perfect condition, well packed for shipping. I was surprised to see that a digital tuner was included. It is a pretty thing and I'm just starting.",everjoys-Soprano,Edie
4.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Black,Came as shown 💯,Great and came with everything listed!! Except came with a strap but no were on the uke to put it.,everjoys-Soprano,JEN
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Rainbow String,Don’t hesitate buy it! Beautiful sound!,"Love it! Easy to tune! Easy to learn on! The colored strings really helped me with chords and finger placement. I play it daily and the sound is awesome! I will be purchasing one for my niece. She is super jazzed to learn as well. I bought one for my other niece and she loves hers. We’re going to get a Uke jam session going! The gig bag is super thin and will not protect your uke so be careful when taking it places or even leaving it around the house. The uke is pretty sturdy too my kids (4,5,9) play it too!",everjoys-Soprano,Yvette
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Pink,Fun & Easy,I’m having great fun with it!,everjoys-Soprano,Brenda Gunnell
5.0 out of 5 stars,"Reviewed in the United States on June 9, 2020",Honey,Couldn't be happier! Thanks,Excellent instrument for beginner's!,everjoys-Soprano,Nicole Chapek
5.0 out of 5 stars,"Reviewed in the United States on June 9, 2020",Black,Great gift!,My son loves it. Cute little ukulele and was so impressed with all the extras!,everjoys-Soprano,Amazon Customer
3.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Black,Not the best sounds,Not the best sound quality so I returned it,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Rainbow String,"Best for the price, nice product for beginners.","Easy to play, good for the beginners. Brought it for my 8 years old and gifted it as her birthday gift. She is super comfortable playing the ukulele. It comes with tuner, belt, and picks.",everjoys-Soprano,Tojo.ak
3.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Blue,Wish I would of known how 'child like' this was,Will not stay intune for longer than a few strums,everjoys-Soprano,MARSHA KIMES
5.0 out of 5 stars,"Reviewed in the United States on June 7, 2020",Heavy Mahogany,Great price for a great gift,My daughter loves it!,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 7, 2020",Mahogany,Amazing ukelele,Loved everything about this ukelele and the extras it came with.,everjoys-Soprano,Aleyda Rodas
5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020",Black,Great for Beginners,I really enjoy the black ukelele that I purchased through Amazon from you guys. It came with everything that said it was going to and it looked so magical coming out of the package. I was so excited to see it in the box on at my door. The tuner was such a nice add on because I did not have one myself. It took me a while to adjust it and figure it out myself but I enjoyed messing around with the different sounds it could produce. I've learned three chords so far and can't wait to learn an actual song. Thank you so much!,everjoys-Soprano,Jessica Centeno
5.0 out of 5 stars,"Reviewed in the United States on June 4, 2020",Light Mahogany,Great Product!,It was super helpful and easy to learn.,everjoys-Soprano,Andrew
5.0 out of 5 stars,"Reviewed in the United States on June 6, 2020",Rainbow String,Nice Ukulele for beginners,"0:000:00This video is not intended for all audiences. What date were you born?JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember123456789101112131415161718192021222324252627282930312020201920182017201620152014201320122011201020092008200720062005200420032002200120001999199819971996199519941993199219911990198919881987198619851984198319821981198019791978197719761975197419731972197119701969196819671966196519641963196219611960195919581957195619551954195319521951195019491948194719461945194419431942194119401939193819371936193519341933193219311930192919281927192619251924192319221921192019191918191719161915191419131912191119101909190819071906190519041903190219011900SubmitAdobe Flash Player is required to watch this video.Install Flash PlayerSorry, this video is unsupported on this browser. My son chose Ukulele as his first musical instrument that he's very interested to learn with. It came with color strings which makes beginners easy to differentiate and remember the key tones. Be cautious when tuning, I broke one string first time tuning up this Ukulele, but luckily this product provided an extra string I could replace with. Suggest that  use the auto tuner to do the tuning every time before you play.",everjoys-Soprano,kellyli1002
5.0 out of 5 stars,"Reviewed in the United States on June 6, 2020",Rainbow String,Another happy customer,You made my granddaughter a happy girl. Thank you.,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 6, 2020",Honey,Easy to play a Ukulele,I gave this as a gift. Happy with my purchase.,everjoys-Soprano,ShoeQueen
5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020",Rainbow String,Beginners you should get this!,I was really happy with the craftsmanship . I’m still learning but it’s great for beginners!,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 3, 2020",Mahogany,very satisfied,"Excellent product for the price, excellent quality and great packaging",everjoys-Soprano,Flores Jorge
4.0 out of 5 stars,"Reviewed in the United States on June 2, 2020",Heavy Mahogany,Soprano Means Small,This is alot smaller than I thought it would be but my son loves it. Seems to be good quality. Pretty color.,everjoys-Soprano,Heather A. Navarro
2.0 out of 5 stars,"Reviewed in the United States on May 31, 2020",Rainbow String,Tuning frequently is annoying,This is my first time learning a string instrument.I wonder it is supposed to like this: I need to tune my Ukulele everytime i use and tuning needs to be done in during practice. Is it a normal or is it wrong?,everjoys-Soprano,YOUNG JIN KIM
4.0 out of 5 stars,"Reviewed in the United States on May 30, 2020",Pink,👍,My kid loves it. For beginners only.,everjoys-Soprano,Nick S.
3.0 out of 5 stars,"Reviewed in the United States on May 30, 2020",Black,It’s for beginners- aka a child’s toy,"The G cord won’t stay tuned and slips to F#. Frustrating and definitely something to think about if you’re shopping price. To avoid disappointment, spend a few more bucks. Pretty discouraging. :(",everjoys-Soprano,Katie
5.0 out of 5 stars,"Reviewed in the United States on May 29, 2020",Pink,So Cute,I love it. It’s so cute. It sounds so pretty. It’s exactly what I wanted.,everjoys-Soprano,Kitty Sloan
2.0 out of 5 stars,"Reviewed in the United States on May 29, 2020",Honey,Case strip broken,The strip on the case broke and detached from the bag on the first day of being used.,everjoys-Soprano,GC
5.0 out of 5 stars,"Reviewed in the United States on May 28, 2020",Rainbow String,Easy to play,Nice,everjoys-Soprano,Elaine
5.0 out of 5 stars,"Reviewed in the United States on May 28, 2020",Rainbow String,Happy with purchase,My little one is thrilled with her soprano ukulele.  Great for beginners.,everjoys-Soprano,TH
3.0 out of 5 stars,"Reviewed in the United States on May 28, 2020",Black,Sound,Sound so bad,everjoys-Soprano,Tsering
3.0 out of 5 stars,"Reviewed in the United States on May 28, 2020",Mahogany,Pretty okay,Its not the best but good for beginners wanting to learn the ukulele.,everjoys-Soprano,Jacqulin
5.0 out of 5 stars,"Reviewed in the United States on May 26, 2020",Mahogany,Beautiful!,"Beautiful little thing. It didn’t want to stay in time, but I did some research and it seems this is a common thing for new ukuleles. Gets better with use.",everjoys-Soprano,Stephen Osi
2.0 out of 5 stars,"Reviewed in the United States on May 25, 2020",Mahogany,Too small,Not like as picture,everjoys-Soprano,Momata Mojumdar
5.0 out of 5 stars,"Reviewed in the United States on May 25, 2020",Honey,Good value for the price,"Item received and have just started  learning to play , for the price point seems quite good, doesn't hold tune for very long but I guess that's to be expected at this price point, other than that seems well made",everjoys-Soprano,J Richards
4.0 out of 5 stars,"Reviewed in the United States on May 24, 2020",Rainbow String,I loved it!,"It’s a really good instrument! I love it! I was looking for a perfect ukelele for beginners, and it’s a really good product!! The only thing, some products are not helpful",everjoys-Soprano,Nicolle Duarte
3.0 out of 5 stars,"Reviewed in the United States on May 22, 2020",Blue,Ok ukelele,"It didn't come with the book, so I took one star off. It needs to constantly be tuned so that's another minus. Ok for a beginner, arrived fast and packaged well.",everjoys-Soprano,G. Sanchez
5.0 out of 5 stars,"Reviewed in the United States on May 21, 2020",Light Mahogany,Very nice instrument,"Our son purchased this to learn some music during the stay-at-home for the pandemic. Very nice instrument. A small ""how-to"" booklet with easy chords and notations for songs would be nice to be added in the future.",everjoys-Soprano,Lisa T-J
4.0 out of 5 stars,"Reviewed in the United States on May 21, 2020",Rainbow String,"Great woodwork, horrible strings","The uke itself is really great, the craftsmanship of the wood is very clean and the price is reasonable. My only complaint is that you would think, as a manufacturer, they would pay the extra $10 in production to get strings that are worth it. The plastic strings that come with the uke do not hold their tune at all, right after tuning them, all 4 strings were incredibly out of tune and I hadn't even started playing it yet.So yeah, great uke, but just buy some $9 D'Addario strings.",everjoys-Soprano,Sydney
4.0 out of 5 stars,"Reviewed in the United States on May 23, 2020",Honey,Not bad,"Not too bad, the strings are kinda cheap nylon .",everjoys-Soprano,Daniel Hohman
2.0 out of 5 stars,"Reviewed in the United States on May 23, 2020",Pink,Don’t recommend,"Really cute , but chips very easily and gets out of tune very very very easily",everjoys-Soprano,Densy
1.0 out of 5 stars,"Reviewed in the United States on May 23, 2020",Pink,Doesn’t hold a tune,Nice looking but doesn’t hold a tune for more than a few strums. Tried doing what another review suggested and tightened the screw on the back but it still doesn’t work. Really disappointed!,everjoys-Soprano,M. Vahue
5.0 out of 5 stars,"Reviewed in the United States on May 21, 2020",Honey,My daughter loved this,"My daughter loved this , great bundle pack",everjoys-Soprano,Mekhi Moore
5.0 out of 5 stars,"Reviewed in the United States on May 21, 2020",Rainbow String,Satisfied with the product,Excellent product!,everjoys-Soprano,Eduardo Sanchez
3.0 out of 5 stars,"Reviewed in the United States on May 21, 2020",Honey,Good for the price,"This was a good price, we bought it for my 9 year old daughters birthday. She loves it! its cute. came with great accessories. My main issue, and why it didn't get more stars is that it's more a toy than an instrument. She has to tune it if she plays too much, the strings do not stay tuned overnight, or with use. so she'll be playing and eventually the sound becomes way off and she has to tune it again. that part is frustrating. But otherwise, this is a cute toy.",everjoys-Soprano,Kimberly Tasney
1.0 out of 5 stars,"Reviewed in the United States on May 20, 2020",Honey,Always out of tune! Don’t buy,I returned this after a few hours because it would not stay in tune. I retuned it about 20 times and after playing a few chords it automatically is out of tune again. I left for the the day and tried again and it was still out of tune. It’s not worth the price for something that won’t stay in tune.,everjoys-Soprano,Chelsea
3.0 out of 5 stars,"Reviewed in the United States on May 19, 2020",Honey,Cheap carry bag,So far the ukelele is a nice little product. The carry bag on the other hand is cheaply made. It arrived with the carry strap torn away from the bag. I would return the entire item package but would prefer this manufacturer just replace the bag.,everjoys-Soprano,Andy Reichenbach
5.0 out of 5 stars,"Reviewed in the United States on May 18, 2020",Honey,Starter uke I would order again,"I am no eike expert but I love this!!!! I decided to buy a uke and learn to play an instrument during this crazy quarantine. Knowing nothing about them I found one that looked cute and came with everything I needed. Here we are a few days later and I am playing rip tide and my 6 year old son is mastering A minor and C cords. This uke is definitely entry level. I would suggest it for kids and a tester to see if you would like to play. I am already ordering a new euk for myself one in a concert size. However I am so happy to have this as my first uke so my son and I can learn this instrument together!!!! It is taking a while for it to hold its tuning, but this is true for all ukes. If I had to start over with my eukalele purchase I would definitely order it again. That being said it is low end but for the price you get everything you need and Im happy to have started my euke collection with such a cute little euke.",everjoys-Soprano,gabrielle chenail
5.0 out of 5 stars,"Reviewed in the United States on May 18, 2020",Mahogany,You get everything you need for start,"I’ve just started to learn because I, staying at home most of the time. Everything you need is included. Perfect for beginners!",everjoys-Soprano,H.K.G721
5.0 out of 5 stars,"Reviewed in the United States on May 18, 2020",Rainbow String,Highly recommend!,"I really like it!Since I got the ukulele, I’ve been playing it almost every day! The rainbow strings are cute and it boosts my mood. I had no experience with ukulele but I’m really enjoying it! The tuner is very good and easy to use, and the mini book helped me to start up my journey. Needless to say, the sounds are great as well. I can’t wait to carry it with me and play it in many places after I’ll be able to travel around!",everjoys-Soprano,Mina Inaba
4.0 out of 5 stars,"Reviewed in the United States on May 17, 2020",Honey,Good bargain,"It’s a good ukulele, comes with strap and a tuner, although the tuner doesn’t seem to work well, I had to download a better tuner app on my phone. The ukulele seemed to get off tune quite easily at the beginning, I found myself having to tune it mid practice session. Now doesn’t seem to happen often but I still do have to make sure it’s tuned before every practice which is a common practice with wind instruments but since  I’ve never played a string instrument before I doN’t know if that’s the case. Overall, it’s a really good instrument for the price and for a beginner, I think it gets the job done.",everjoys-Soprano,LV
3.0 out of 5 stars,"Reviewed in the United States on May 17, 2020",Rainbow String,really bad quality,"the chords don’t sound right at all, but i guess it’s a good starter to play to see if you’d like a more expensive, better quality one.",everjoys-Soprano,Amazon Customer
2.0 out of 5 stars,"Reviewed in the United States on May 16, 2020",Rainbow String,Need to change strings right of the of box,Poor finish,everjoys-Soprano,Josue Rojas
4.0 out of 5 stars,"Reviewed in the United States on May 16, 2020",Blue,Great gift idea,I purchased this for my sisters birthday and she loved it. it came with so many accessories and was also in perfect condition. I would have liked it to be a little bit heavier and more durable but it was very light and the strings were a little weak. but it was a good product for the price that it was.,everjoys-Soprano,allie p.
1.0 out of 5 stars,"Reviewed in the United States on May 16, 2020",Rainbow String,Bad look,Looks like a McDonald’s toy,everjoys-Soprano,Rahulsin101
1.0 out of 5 stars,"Reviewed in the United States on May 15, 2020",Rainbow String,Splurge for a better product.,"Bought this for my little brother, got it out of the box and started to tune it before i realized it was strung wrong. Instead of GCEA it was strung CGCA so not only out of order but with the wrong strings all together so now i have to buy a restringing kit and restring it before he can start to use it.",everjoys-Soprano,Trev
5.0 out of 5 stars,"Reviewed in the United States on May 13, 2020",Rainbow String,Great customer service!,I purchased this product but was not excited about the quality. I was able to return it then the seller reached out to me directly to resolve the matter by replacing our with a new improved ukulele! Couldn't be happier. Thank you!,everjoys-Soprano,Daniel Ruiz
1.0 out of 5 stars,"Reviewed in the United States on May 13, 2020",Black,"Beautiful, but broken case given with it.","I’m happy with it, but the bag/case for the instrument doesn’t open at all; there’s no zippers and there’s no actual way for me to open it so that’s just for show I guess. The guitar is fine. It’s more matte than I thought and it does hold fingerprints on the matte finish. Fun strap and cool look, but I’m going to need a new case sent to me that is actually functional.",everjoys-Soprano,DC
5.0 out of 5 stars,"Reviewed in the United States on May 13, 2020",Black,Fun!,Daughter loves it! Well made and comes with easy to follow instructions,everjoys-Soprano,mc
5.0 out of 5 stars,"Reviewed in the United States on May 15, 2020",Rainbow String,Quality,The workman ship and easy to understand instructions. Great way to stay occupied during the pandemic.  Happy I got it!,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on May 14, 2020",Black,Look great,It does feel nice and look great. Can't wait to play. Happy with it,everjoys-Soprano,Amazon Customer
4.0 out of 5 stars,"Reviewed in the United States on May 14, 2020",Mahogany,Great for beginners,Good product for the price.  It does not come with a hard case as depicted in picture.  It's more like the material you use in your flower bed to prevent weeds from coming thru.,everjoys-Soprano,Amazon Customer
3.0 out of 5 stars,"Reviewed in the United States on May 12, 2020",Rainbow String,worth the $,"I'm obviously missing whatever those colored dots are in the product pic, cuz I didnt get anything like that in the kit.Also, the strap seems very useful....but there no where to attach it to the uke?!?!?! Weird. I'm happy those. Follow yt videos for tutorials, best option!",everjoys-Soprano,Silvia
