stars,date,type,short_d,content,product_name,name
5.0 out of 5 stars,"Reviewed in the United States on August 10, 2018",Rainbow String,Cute ukulele,Very cute and comes with everything in the picture.My little brother is absolutely over the moon with his ukulele,everjoys-Soprano,Amazon Customer
1.0 out of 5 stars,"Reviewed in the United States on July 31, 2018",Rainbow String,Toy,It is a toy. I bought one for my granddaughter (8 yrs) but ended up returning this one and buying an instrument from the music store.,everjoys-Soprano,todd & kate
5.0 out of 5 stars,"Reviewed in the United States on July 29, 2018",Rainbow String,Has songbook with chords and I like the included tuner,Most-all inclusive packageLeast-needs to be constantly tuned,everjoys-Soprano,tim
1.0 out of 5 stars,"Reviewed in the United States on July 28, 2018",Rainbow String,Would recommend kala instead,Had to tune it way too many times in a day. Would recommend kala instead!,everjoys-Soprano,Tenzin
5.0 out of 5 stars,"Reviewed in the United States on July 28, 2018",Rainbow String,Lovely,The color of the strings is lovely. It contains many materials that is really helpful to me.,everjoys-Soprano,Silvia Black
5.0 out of 5 stars,"Reviewed in the United States on July 27, 2018",Rainbow String,Interesting,"It's nice,my little daughter likes it.",everjoys-Soprano,Lu cheng
5.0 out of 5 stars,"Reviewed in the United States on July 19, 2018",Rainbow String,Five Stars,Great deal,everjoys-Soprano,Stephen Chaman
5.0 out of 5 stars,"Reviewed in the United States on July 18, 2018",Rainbow String,Surprisingly great value,"The wood quality is surprisingly good.  Very light weight.  I just managed to tune it and the sound is very good. The package included a tuner, string, picks and carrying case. I’d say very good price for this good quality ukulele.  Looking forward to teach myself some new songs.",everjoys-Soprano,Stan the Man
5.0 out of 5 stars,"Reviewed in the United States on July 27, 2018",Rainbow String,It’s cool,I like. My daughter ‘s music teacher said it is a good ukulele. It’s cool.,everjoys-Soprano,Lauren Jane w taeshis
5.0 out of 5 stars,"Reviewed in the United States on July 26, 2018",Black,Great Uke!!,I really liked that it arrived on time! It plays well just need to tune the strings every time I'm gonna play.. I guess they need a stretch. Lol,everjoys-Soprano,Celeste H.
5.0 out of 5 stars,"Reviewed in the United States on July 26, 2018",Rainbow String,Five Stars,LOVED IT,everjoys-Soprano,bertika
5.0 out of 5 stars,"Reviewed in the United States on July 25, 2018",Rainbow String,Cute and Functional!,"This instrument is adorable and the book is simple to understand. The tuner took me awhile to figure out, but eventually I got the hang of it! I’d definitely recommend this to anyone who’s looking to learn how to play the ukulele.",everjoys-Soprano,Maxwell King
4.0 out of 5 stars,"Reviewed in the United States on July 16, 2018",Blue,Smells Great?,Needs more of glaze.Good to have.It's good and all.A bit dull.Looks great.Smells great.Love date.,everjoys-Soprano,Jose&Isaac
5.0 out of 5 stars,"Reviewed in the United States on July 13, 2018",Black,Perfect beginner instrument,The color is great. It’s out of tune at first but that’s to be expected. I use an app to tune it and to learn chords. Overall I love it and I look forward to practice everyday.,everjoys-Soprano,Lavender
5.0 out of 5 stars,"Reviewed in the United States on July 12, 2018",Rainbow String,"this Ukulele is excellent, it is right size","this Ukulele is excellent, it is right size, right weight, not heavy at all, its sound is beautiful, My kid loves playing it, and it is so easy to learn. Excellent.",everjoys-Soprano,jillilee
5.0 out of 5 stars,"Reviewed in the United States on July 10, 2018",Mahogany,Quality Ukulele,Great Ukulele!  All the kit items are quality and the ukulele itself is really nice!,everjoys-Soprano,Katie Kazmierczak
5.0 out of 5 stars,"Reviewed in the United States on July 21, 2018",Rainbow String,Aweeeeeeesomee!!!,This ukulele is Amazing. I don't know why everyone else thinks this a toy. It plays beautifully and  it has real wood no plastic. This is also a great starter kit it comes with everything that you need to play a ukulele. This deserves Five stars It is so beautiful. I recommend this uke.,everjoys-Soprano,MsJsmart_21
5.0 out of 5 stars,"Reviewed in the United States on July 21, 2018",Rainbow String,Great fun,The toddler loves it,everjoys-Soprano,Pamela Hubbert
5.0 out of 5 stars,"Reviewed in the United States on July 20, 2018",Rainbow String,For a beginner it is a very fine product nothing bad about it,"0:000:00This video is not intended for all audiences. What date were you born?JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember123456789101112131415161718192021222324252627282930312020201920182017201620152014201320122011201020092008200720062005200420032002200120001999199819971996199519941993199219911990198919881987198619851984198319821981198019791978197719761975197419731972197119701969196819671966196519641963196219611960195919581957195619551954195319521951195019491948194719461945194419431942194119401939193819371936193519341933193219311930192919281927192619251924192319221921192019191918191719161915191419131912191119101909190819071906190519041903190219011900SubmitAdobe Flash Player is required to watch this video.Install Flash PlayerSorry, this video is unsupported on this browser. For a beginner it is a very fine product nothing bad about it, This was purchased as a birthday gift for my 14 year daughter... She LOVES it! The ukulele is beautiful and appears to be of high quality. This is a really priced package deal. The carrying bag is also sturdy enough to protect the ukulele. And all things starters need are in the package. So far I am very pleased with this purchase!",everjoys-Soprano,Edward Cheng
3.0 out of 5 stars,"Reviewed in the United States on July 20, 2018",Honey,Made in China,"Don't let the ""sold by USA Fine Products"" fool you. We picked this item thinking it was made in the US. It's not. It's made in China.",everjoys-Soprano,LT
5.0 out of 5 stars,"Reviewed in the United States on July 20, 2018",Rainbow String,Great beginner's Ukulele kit,"Purchased this ukulele kit for my daughter's birthday (a ukulele was at the top of the list).  It arrived on time and exactly as described.  I've never played a string instrument before so I cannot comment on the quality levels of this instrument.  However, with a little youtube instruction the kid is able to play a few tunes, tune the instrument with the provided tuner, and play these tunes without burning my ears. She absolutely loves it an carries the thing with her everywhere.  The sound of the instrument is as expected, and know that it isn't that of a high quality instrument- but she is a beginner.  If she decided in a couple weeks she was no longer interested, I would already feel it was money well spent and would re-gift/share with someone else.  It's absolutely perfect.",everjoys-Soprano,chrometoaster
5.0 out of 5 stars,"Reviewed in the United States on July 10, 2018",Rainbow String,Love it,Love it thanks,everjoys-Soprano,Grerchen
5.0 out of 5 stars,"Reviewed in the United States on July 9, 2018",Rainbow String,Strap is NOT USELESS.,If you look close at this picture you can see how the strap attaches. Took us a little bit to figure it out but it definitely is NOT useless. My child LOVES THIS!,everjoys-Soprano,Melissa Carr
5.0 out of 5 stars,"Reviewed in the United States on July 8, 2018",Rainbow String,Worth the buy. Has everything you need,Bought this for my 10 year old daughter. This kit has everything you need. The tuner worked well. Good quality. She’s super happy!,everjoys-Soprano,Jessica
1.0 out of 5 stars,"Reviewed in the United States on July 6, 2018",Pink,TERRIBLE QUALITY,"I was so excited to get this and when it shipped, the string was already falling out. I tried to put it back in but it wouldn’t tighten and was broken.  Very cheap. Will never buy from this company again. BE CAREFUL. Also, the ukulele had dirty marks on it",everjoys-Soprano,Jessica Shepherd
3.0 out of 5 stars,"Reviewed in the United States on July 6, 2018",Black,Great for beginners who have never touched a string instrument.,"For the price, this is great for a beginner who doesn't have a clue how to play a string instrument and doesn't want to invest a lot of money in finding out if he/she will enjoy playing it.",everjoys-Soprano,F.K.N. Zach
5.0 out of 5 stars,"Reviewed in the United States on June 29, 2018",Black,Has everything you need for beginner,"This is a great Value pack for the beginner. It comes with everything you need inculding, a handy digital tuner, a songbook, a spare pick, a spare string, a microfiber, a strap, and a convenient bag. It takes me a while to set it up for the first time using by contacting the customer service.",everjoys-Soprano,Katy cheny
1.0 out of 5 stars,"Reviewed in the United States on June 28, 2018",Rainbow String,I like the price and size,"I like the price and size, but it will not stay tune. Tried to chat online and no one answered",everjoys-Soprano,Jane Reszka
3.0 out of 5 stars,"Reviewed in the United States on July 5, 2018",Rainbow String,Won't hold tune,"Bought this for my 7 yr old granddaughter. Like the colored strings for learning but am very disappointed it won't hold tuning.  Every time my husband got the A string tuned, it would immediately slip back out of tune again. The ""bag"" is cheaply made and definitely won't protect it. Would have returned it but my granddaughter was too excited to let go. 😒",everjoys-Soprano,Linda
5.0 out of 5 stars,"Reviewed in the United States on July 5, 2018",Rainbow String,Gift,Came with everything advertised. The strings are made of a plastic-y looking material that is awkward to strum but you get used to it. Brother loves it and plays it often.,everjoys-Soprano,Eletha Gilcyne
3.0 out of 5 stars,"Reviewed in the United States on July 4, 2018",Rainbow String,Not bad,Not bad,everjoys-Soprano,Marcus
4.0 out of 5 stars,"Reviewed in the United States on July 3, 2018",Rainbow String,Perfect for kids,"This ukelele is amazing. My son loves the multicolored strings. Much easier for learning how to play. The only reason I'm giving this 4 stars is because of the bag, it's thin nylon and no protection for the instrument.",everjoys-Soprano,Kindle Customer
5.0 out of 5 stars,"Reviewed in the United States on June 27, 2018",Rainbow String,Great quality for a starter instrument,Great quality for a starter instrument. My daughter and wife are now playing the ukulele after just 2 months of owning (and a lot of practice). Good value for the price.,everjoys-Soprano,Tony H
4.0 out of 5 stars,"Reviewed in the United States on June 25, 2018",Rainbow String,Kids uke but still fun,"I got this for my boyfriends birthday and didn’t realize it was a kids ukelele. He still loves it though. It looks very tiny with him holding it because he is a big guy, built like a linebacker. But he still loves it! He has a little difficulty with the fret board because his hands are so big but he says it’s like that with guitars too. So far it’s been easy to tune, came with a case and a tuner and a lanyard to wear your ukelele.",everjoys-Soprano,TheSweats
3.0 out of 5 stars,"Reviewed in the United States on June 25, 2018",Rainbow String,"For a beginner who just want to have fun strumming, it is OK for the price","it's ok for people who are not serious at all in learning the instrument.  One problem I have is that the tuning key is loose, so it doesn't stay put after it is tuned.  So it usually gets out of tune quickly within a few hours.  For a beginner who just want to have fun strumming, it is OK for the price.",everjoys-Soprano,Gentle Fury
5.0 out of 5 stars,"Reviewed in the United States on June 24, 2018",Rainbow String,Very Satisfied,Very satisfied little instrument. I liked it!,everjoys-Soprano,Joy Shi
4.0 out of 5 stars,"Reviewed in the United States on July 3, 2018",Rainbow String,Great ukulele,Nice ukulele hard to keep in tune though great for beginners,everjoys-Soprano,Taylor
1.0 out of 5 stars,"Reviewed in the United States on July 2, 2018",Rainbow String,Trash,Crap quality never buy,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on July 2, 2018",Rainbow String,My 7 year old loves it and is excited to start lessons,sounds great! great price,everjoys-Soprano,Amanda Agnew
5.0 out of 5 stars,"Reviewed in the United States on July 1, 2018",Pink,She LOVES that it is pink-her favorite color. She also loves that it came with ...,"This was my daughter's first big purchase with her hard earned money. She is SO excited to have her very own, REAL instrument. She LOVES that it is pink-her favorite color. She also loves that it came with so many extras. The fact that she can tune it herself with the digital tuner, and that it has a strap, case, a pick, and extra strings. It sounds beautiful, and she's very excited to learn some of the songs that came in the included songbook. :) What a great deal for her. As a parent, I felt good having her purchase this kit. Thank you for making it a great experience. :) If I had one complaint, the case is a very thin case with no padded protection. I would have liked it to be thicker so it was more durable and more protective. :)",everjoys-Soprano,N. Head
3.0 out of 5 stars,"Reviewed in the United States on July 1, 2018",Honey,Not bad,Ok quality for the price. Not super impressed but my kid likes it well enough.,everjoys-Soprano,Jordan
5.0 out of 5 stars,"Reviewed in the United States on June 24, 2018",Pink,Grandbaby love holding up well,Grandbaby love holding up well,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 22, 2018",Rainbow String,Great starter,"My daughter is tuning it right now! Itsbfor her 14th birthday. She has been asking me for one forever. It’s just the right one for a beginner. I don’t want to buy an expensive one, until she learns.",everjoys-Soprano,A customer
4.0 out of 5 stars,"Reviewed in the United States on June 22, 2018",Rainbow String,It's a good set for the price,"It's a good set for the price, but it is not for anyone serious about learning to play the ukulele.  This was a gift for my young son (5 years old), and he loves it.  It is totally appropriate for a young child.  The case is cheap quality and doesn't have a pocket to store the extra strings or tuner.  The book doesn't actually tell one how to play the instrument, just gives some tabs for a few songs.  The strings are the worst, though.  They are made out of a cheap plastic that stretches.  So when you try to tune the ukulele, you can never get it tight enough to reach the desired pitch before it stretches out again.",everjoys-Soprano,Lindsay A Erickson
4.0 out of 5 stars,"Reviewed in the United States on June 18, 2018",Rainbow String,Four Stars,Gift for niece going to Hawaii BYU college,everjoys-Soprano,william harrop
3.0 out of 5 stars,"Reviewed in the United States on June 16, 2018",Black,It’s hard to tune if your a beginner,Fun for beginners,everjoys-Soprano,Jessica
4.0 out of 5 stars,"Reviewed in the United States on June 7, 2018",Rainbow String,4 just because the string is too colorful.,The string should have been just plain but other than that it plays good and i like the package deal.,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 15, 2018",Rainbow String,Absolutely love it! Good relaxing sounds,Absolutely love it! Good relaxing sounds. This is my buddy now. Everyday I play the ukulele. Nice bag. The bag's handle should be longer. Not very comfortable to carry around.The tuner's screw got loosened and I fixed it.,everjoys-Soprano,Ma
5.0 out of 5 stars,"Reviewed in the United States on June 15, 2018",Rainbow String,I love my ukulele,I love my ukulele. Such a great bonus to get the tuner as well. I might get another one in the future from this seller. I am very happy with this purchase.,everjoys-Soprano,Share
5.0 out of 5 stars,"Reviewed in the United States on June 13, 2018",Rainbow String,Very nice!,"WOW I was surprised how nice these actually are, specially for the price.",everjoys-Soprano,Matt Man
4.0 out of 5 stars,"Reviewed in the United States on June 13, 2018",Blue,Great but not what he had hoped for.,This was the first ukulele we tried to buy. When we got it I think he expected a little better made ukulele. However it was easily returned with Amazon Prime and we found another he liked. I definitely would recommend this for a kids first ukulele. Maybe not a young teen.,everjoys-Soprano,Susan Goad
3.0 out of 5 stars,"Reviewed in the United States on June 7, 2018",Rainbow String,Three Stars,Good: Fairly easy to tune. Poor: Small size VS big fingers is difficult.,everjoys-Soprano,Harriet S.
5.0 out of 5 stars,"Reviewed in the United States on June 5, 2018",Rainbow String,Five Stars,Very good. Just like description and looks just like the picture,everjoys-Soprano,Todd W Jones
5.0 out of 5 stars,"Reviewed in the United States on June 4, 2018",Rainbow String,very nice set,"great gift, and for the price if it is only played with and then forgotten it wasn't a big investment. but it is a very nice set.",everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 12, 2018",Light Mahogany,Didn’t come with beginners book?,"Came a day earlier than expected and packaged very well. I purchased the mahogany one and I was under the impression that all of them came with a beginners book, but I did not receive one and could be wrong. The wood is beautiful and I’m excited to start learning. All in all a great purchase.",everjoys-Soprano,Taylor
4.0 out of 5 stars,"Reviewed in the United States on June 12, 2018",Rainbow String,Worth the money,"Great little ukulele for the money. I advise purchasing strings separately though, as the ones that come with it are low quality. The case is also super flimsy cheap plastic.",everjoys-Soprano,Katy Fredrickson
5.0 out of 5 stars,"Reviewed in the United States on June 9, 2018",Mahogany,Great for beginnners,"I'm still trying to get the hang of it, but this ukulele is great for de-stressing and just to have fun.",everjoys-Soprano,Victoria
3.0 out of 5 stars,"Reviewed in the United States on June 9, 2018",Mahogany,Get what you pay for,If you already CV an play and want a cheap Uke this is perfect. Trying to learn on it is hard because it's cheap strings and material make it sound not like it should....if you buy make sure you buy some better strings,everjoys-Soprano,speisalk
3.0 out of 5 stars,"Reviewed in the United States on June 8, 2018",Rainbow String,Hard to keep it in tuned. Get it there ...,"Hard to keep it in tuned. Get it there, use it a couple of times , goes out of tune.  But you get what you pay for.",everjoys-Soprano,andrea
3.0 out of 5 stars,"Reviewed in the United States on June 3, 2018",Mahogany,Returned for different uke,"I decided to get my own ukulele after learning to play with my daughter's ukulele called ""Hola!"" I wanted something different and liked how this looked in the pic. I may have been happy with this if I had nothing to compare it to but since I did, I could not keep it. The metal fret bars are not filed down as they are in other ukuleles. They are a bit sharp and could snag on clothes. The picture made the uke look shiny but it was a matte finish and I did not like how it felt in my hands compared to my daughter's ukulele. It's gong back.",everjoys-Soprano,Steph A
5.0 out of 5 stars,"Reviewed in the United States on June 2, 2018",Rainbow String,Five Stars,Cute and fun!!,everjoys-Soprano,Tracey L.
5.0 out of 5 stars,"Reviewed in the United States on June 2, 2018",Honey,Awesome first ukelele,This is my first ukelele! I love the color and everyting about it. I had some trouble tuning the 2d chord but i got it later. I went to Youtube and saw a LOT of videos for ukelele beginers. I liked so much and the price was also great!,everjoys-Soprano,Amazon Customer
1.0 out of 5 stars,"Reviewed in the United States on May 30, 2018",Rainbow String,this item was a bithday gift and it turned to ...,this item was a bithday gift and it turned to be real low quality and fake digital tuner also did not work.,everjoys-Soprano,tavito
5.0 out of 5 stars,"Reviewed in the United States on May 29, 2018",Rainbow String,Five Stars,My daughter loved it! Perfect for a starter!,everjoys-Soprano,TADough
5.0 out of 5 stars,"Reviewed in the United States on May 29, 2018",Rainbow String,Love it!,"I received my ukulele and accompanying accessories approximately two weeks ago, and they're great!  At first, the ukulele needed to be tuned every time I played it, but now it stays in tune a lot longer.  I've always enjoyed ukulele music, and learning how to play it myself is fun!",everjoys-Soprano,Karen
2.0 out of 5 stars,"Reviewed in the United States on May 21, 2018",Rainbow String,Two Stars,We couldn't get it to stay in tune.  Returning.,everjoys-Soprano,Rachel
5.0 out of 5 stars,"Reviewed in the United States on May 19, 2018",Black,I got this item for my daughter and she loves ...,I got this item for my daughter and she loves it. Was playing two or three songs by the end of the first day.,everjoys-Soprano,Lisa Moran
4.0 out of 5 stars,"Reviewed in the United States on May 18, 2018",Rainbow String,Complete kit.,Great little beginner Ukulele kit. Comes with everything needed to start playing.,everjoys-Soprano,CamiMarbles
1.0 out of 5 stars,"Reviewed in the United States on May 18, 2018",Rainbow String,Crap uke,"This ukulele arrived in a crushed outer  box. The inside bix was fine. Took the ukulele out, tuned it, played one song and it became out of tune. I retuned it, started playing again and before the song was done it was already out of tune again. Don't buy this. It's a waste of $.",everjoys-Soprano,steffie
4.0 out of 5 stars,"Reviewed in the United States on May 14, 2018",Rainbow String,"The tuner is awesome, the case is super flimsy","To be very clear, this is definitely a beginner Uke and should be purchased as that.  The tuner is awesome, the case is super flimsy, do NOT think that it will stand up like that and show shape, it is thin vinyl and offers no protection!  In the beginning you have to constantly tune this thing...and it's annoying.",everjoys-Soprano,S. Teague
1.0 out of 5 stars,"Reviewed in the United States on May 13, 2018",Mahogany,One Star,was horrible tuner does not work cheap plastic. dont waste your money,everjoys-Soprano,Anonymous
5.0 out of 5 stars,"Reviewed in the United States on April 28, 2018",Black,and have always loved any instrument with strings,"I am a high school student, and have always loved any instrument with strings. In band I play the trumpet, and was looking for something more peaceful than a trumpet. I got this and instantly loved it. Its easy to tune with its included tuner, and the beginners book helps a lot. My favorite song to play is ""Im Yours"" and its the first song I learned. Its fun, easy, and relaxing to say the least. I highly recommend this product!",everjoys-Soprano,Hayden
5.0 out of 5 stars,"Reviewed in the United States on April 27, 2018",Rainbow String,Beautiful and well made,Bought as a gift for my 12 year old daughter. In no time she was playing real songs simply by watching YouTube tutorials. She loves it and plays it constantly. It seems well made and is holding up well.,everjoys-Soprano,ben
4.0 out of 5 stars,"Reviewed in the United States on April 24, 2018",Rainbow String,But overall great,Only reason it’s 4 stars is because in missing my digital tuner. But overall great purchase,everjoys-Soprano,Karyn
5.0 out of 5 stars,"Reviewed in the United States on April 24, 2018",Pink,Five Stars,Just as advertised. Shipped quickly. I can't wait to get strumming and learn to play!,everjoys-Soprano,Katherine Gouner
5.0 out of 5 stars,"Reviewed in the United States on May 9, 2018",Rainbow String,Great ukulele for beginner,"Great ukulele. My daughter tunes it easily with an app. It seems to be made well and looks professional. Very happy with it, especially given the price.",everjoys-Soprano,
5.0 out of 5 stars,"Reviewed in the United States on May 8, 2018",Rainbow String,Five Stars,This is not bad. My daughter likes to hold the ball all day.,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on May 3, 2018",Rainbow String,Five Stars,nice starter ukulele for school music class,everjoys-Soprano,Lee H
4.0 out of 5 stars,"Reviewed in the United States on April 29, 2018",Rainbow String,"Nice product, but tunner does not do its job.","Tunning does not work well with tunning meter. My daughter could easily say its not tuned when tunner showed its tunned. She had to take it to her teacher, she made it perfect. Product is good",everjoys-Soprano,Prakash
5.0 out of 5 stars,"Reviewed in the United States on April 24, 2018",Honey,The perfect entry level instrument.,"I am love in my ukulele, sounds was great.After the first couple weeks, the string will stretched fine, and the tuning every 45 seconds wasn't an issue anymore.Any more than a casual player will have replaced the strings anyway, the ukulele itself is an amazing value though.",everjoys-Soprano,Jenna
5.0 out of 5 stars,"Reviewed in the United States on April 20, 2018",Rainbow String,Great Starter Kit for Very Low Price,"Bought for one of my children. Saw it got many good reviews (4-5 stars) & a few dud ones (1 star). At such a low price (-$30) decided to give it a shot, after all even dud review mentioned he was able to return it. For the price this uke surely deserves 5 stars. Everything works and works well. This is a serious very inexpensive option for a starter set.Don't get me wrong, when my child learns three songs I promised her a Kala, but this Uke will not go to waste as two of her younger siblings are already begging to take over this one. Update: She learned 3 songs easily from tutorial book included, simplistic but she learned them hardly asking daddy for help, so props to let book too.As to the many who complain about its staying in tune, I have noticed it is sensitive to humidity & temperature. Do not see it as big problem. After a couple days it evened out & all ukuleles have this problem. Tuner included makes it easy to tune it in under a minute.As to set-up: Nut was at good height. When I filed saddle down to allow about 3mm at 12th fret intonation was perfect, not just acceptable, PERFECT, pretty amazing on uke at this price.Adding a thought here on this cute little uke: Just finished evaluating all uses in pic & my kids (5-10) & I found the rainbow strings the most pleasant to play. Dad does not notice it much, but nice touch on this trainer uke.",everjoys-Soprano,Ian Mclean
5.0 out of 5 stars,"Reviewed in the United States on April 18, 2018",Rainbow String,Five Stars,Looks great! Can hand tune or auto tune!,everjoys-Soprano,Jill S.
5.0 out of 5 stars,"Reviewed in the United States on April 15, 2018",Mahogany,Sweet sound and fun for my son!,"Took a bit for my son to figure out but since Christmas this year, he still plays it and nothing has fallen apart or anything. It does need to be tuned again if playing for a while. Not sure if that's just because of the kind of strings it has, or if it's defective but in any case, he's happy and that's all that matters!",everjoys-Soprano,Sara
2.0 out of 5 stars,"Reviewed in the United States on April 15, 2018",Pink,... is a toy but the advertisements made it look like you could actually play it,I know this is a toy but the advertisements made it look like you could actually play it. Not the case.,everjoys-Soprano,Lark3339
2.0 out of 5 stars,"Reviewed in the United States on April 13, 2018",Mahogany,Not Expected!,"Wow! When I got this in the mail, I expected it to not have rainbow strings. It sounds like the musical instruments that preschoolers use to play with. Not expected at all! But, it totally works my 7 year old sister.",everjoys-Soprano,amanda wallace
5.0 out of 5 stars,"Reviewed in the United States on April 13, 2018",Black,Great deal great item,Arrived on time and in perfect condition. I really enjoyed this item,everjoys-Soprano,Cricket
5.0 out of 5 stars,"Reviewed in the United States on April 12, 2018",Honey,Well she thinks that the songbook is not much useful because it did not explain clear to teach a ...,"Bought this one as a birthday gift for my friend. She really likes it. It comes with all the tools that ukulele beginner need, which is convenient. It also comes with a cover bag. The handy digital tuner can adjust the standard tuning. Well she thinks that the songbook is not much useful because it did not explain clear to teach a beginner how to learn and adjust tuning. But it still a good choice as a gift for my friend. Good!",everjoys-Soprano,Joanne.C
2.0 out of 5 stars,"Reviewed in the United States on April 12, 2018",Black,It is fine to learn on and learn chords,"It is fine to learn on and learn chords, but if you are serious about learning to play, I would buy a better one with better strings. The strings on this one are plastic.",everjoys-Soprano,patricia cahill
1.0 out of 5 stars,"Reviewed in the United States on April 11, 2018",Honey,cheap,Cheap junk considering return but I don't know how that would work,everjoys-Soprano,Daniela
1.0 out of 5 stars,"Reviewed in the United States on April 10, 2018",Rainbow String,I want a refund on BOTH -,"I ordered one for me and one for a friend. Since we started playing them, the TUNING KEYS no longer ""hold"" the strings. You can tune it, and then the strings go loose because the tuning keys are bad. PLEASE RESPOND.",everjoys-Soprano,McKenna Kuhr
5.0 out of 5 stars,"Reviewed in the United States on April 10, 2018",Rainbow String,Like it,"I've been wanting to learn to play ukulele for a long time, finally made up my mind and got one.I want to start with something simple, so i got this beginner all in one kit to save myself time and trouble. It's really nice that the kit comes with a bag and a tuner. I can easily carry it around, store it when I don't play, and don't need to shop around again for a tuner. I am so excited and can't wait to be a musician!",everjoys-Soprano,Amy Law
5.0 out of 5 stars,"Reviewed in the United States on April 8, 2018",Rainbow String,good for practicing,"Value pack and reasonable price, good for practicing, my boy loves it! I don't know much about music but it looks nice.",everjoys-Soprano,zz
5.0 out of 5 stars,"Reviewed in the United States on April 10, 2018",Rainbow String,Fun for kids,Daughter loves it!,everjoys-Soprano,Allicent
1.0 out of 5 stars,"Reviewed in the United States on April 10, 2018",Rainbow String,Great for a toy,"Very cheap ukulele that doesn't hold a tune. I would tune the first string and by the time we would tune the next the first would be WAY out of tune. Great for a toy, but not to actually play music.",everjoys-Soprano,Hildamae
2.0 out of 5 stars,"Reviewed in the United States on April 10, 2018",Rainbow String,Cheap.,Loses tune immediately.,everjoys-Soprano,Ningirl
5.0 out of 5 stars,"Reviewed in the United States on April 8, 2018",Mahogany,Could not be better for the price,This thing is the coolest. Could not be better for the price. Sounds great once it gets tuned and even comes with an easy to use auto tuner. Love it. Can’t wait to learn how to play,everjoys-Soprano,Wakeboard_Boot
4.0 out of 5 stars,"Reviewed in the United States on April 8, 2018",Rainbow String,Seems okay to this beginner,"I'm just a beginner on the ukulele but this instrument seems okay to me.  I like the clip-on tuner that comes in the pack.  Make sure the tuner is in the right mode, though (either C for chromatic of Uc for soprano uke),  Expect to retune constantly while the nylon strings are stretching out.  That may take weeks, if my experience is any guide.  A uke from a music store may have the strings already stretched out and stable but you may pay more.",everjoys-Soprano,David H
1.0 out of 5 stars,"Reviewed in the United States on April 7, 2018",Blue,One Star,"My daughter hated it, it's basically a toy. Not a real instrument. Returning it.Sad birthday present.",everjoys-Soprano,rlb
5.0 out of 5 stars,"Reviewed in the United States on April 5, 2018",Honey,"Pretty funny ,how people say that it can't be in tune","I get this for my honey boy,and it's all in the best condition.Why some people say that it can't stay in tune. If you are thinking about learning get this one its great and just realize with any string instrument you will have to constantly tune your ukulele for a week or so before the string properly stretch out.",everjoys-Soprano,Chengkeng Lin
5.0 out of 5 stars,"Reviewed in the United States on April 5, 2018",Rainbow String,Great gift choice!,"I bought the Ukulele as a gift for my friends' daughter. It is very well crafted.  After some tuning, it made beautiful sounds.  I like that all the tuning devices are included.",everjoys-Soprano,Yang Chen
5.0 out of 5 stars,"Reviewed in the United States on April 3, 2018",Mahogany,Five Stars,my boy loved it.,everjoys-Soprano,Jeff G.
5.0 out of 5 stars,"Reviewed in the United States on April 3, 2018",Rainbow String,My first ukulele!,It’s delivered fast and packaged well. The overall weight is light and quality is very good. Also it comes with various instructions and other piece of item which are great for ukulele beginner like me! I chose the lightest color which turned out to be a smart choice. The light weight makes it great for traveling. I recommend it to people who wants to learn a basic instrument and has a low budget!,everjoys-Soprano,Yue Zhou
5.0 out of 5 stars,"Reviewed in the United States on April 2, 2018",Rainbow String,Easy to play,Really goid for a beginner. Easy to play.,everjoys-Soprano,Micah S. Armes
1.0 out of 5 stars,"Reviewed in the United States on March 29, 2018",Black,Cheap,Couldn't get this to tune.,everjoys-Soprano,Kathryn Petty
5.0 out of 5 stars,"Reviewed in the United States on March 28, 2018",Blue,Adorable. My son loves it,Adorable. My son loves it. He youtubed a few songs and is now playing it. Great size and sound and a good starter instrument for someone wanting to learn.,everjoys-Soprano,Happy Mommy
5.0 out of 5 stars,"Reviewed in the United States on March 27, 2018",Black,Great kit for a beginner!,Came in perfect condition and really enjoyed getting the extra things in the set!! It’s very pretty and sturdy. Can’t wait to start learning the ukulele!,everjoys-Soprano,Mary
5.0 out of 5 stars,"Reviewed in the United States on March 27, 2018",Black,Five Stars,Love this! Perfect for beginners.,everjoys-Soprano,Tammie
5.0 out of 5 stars,"Reviewed in the United States on March 26, 2018",Black,Five Stars,Looks beautiful easy to tune once you learn how. Sounds beautiful,everjoys-Soprano,Blair Vanbuskirk
1.0 out of 5 stars,"Reviewed in the United States on March 24, 2018",Mahogany,One Star,Cheaply made the neck broke off from the body! Don't buy for a kid,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on March 23, 2018",Rainbow String,Excellent starter package,"My like came as promised, was well wrapped.It's my first ukulele,as a starter,I get the right one.This a great value. Sounds good and plays well.Don’t be scared by the initial string stretch, it’s normal for new strings.Anyway,I love it.",everjoys-Soprano,Cynthia
