date,open,high,low,close,volume
2023-01-03,148.51,149.96,140.96,143.15,40127658.0
2023-01-04,145.67,148.53,142.41,147.49,43132360.0
2023-01-05,144.91,145.64,141.4795,142.65,38916811.0
2023-01-06,144.74,150.1,140.34,148.59,40504362.0
2023-01-09,152.84,160.56,151.41,156.28,50423056.0
2023-01-10,155.07,159.6199,154.72,159.09,38410126.0
2023-01-11,158.3951,160.28,155.63,160.01,35328493.0
2023-01-12,161.0,166.37,154.92,165.11,55140906.0
2023-01-13,162.78,169.22,161.65,168.99,44728706.0
2023-01-17,168.99,177.28,168.99,177.02,51110216.0
2023-01-18,176.67,178.73,172.82,173.77,43962355.0
2023-01-19,170.36,171.97,167.31,167.65,45293160.0
2023-01-20,170.11,178.56,168.25,178.39,56496712.0
2023-01-23,180.64,192.45,178.175,191.93,65516259.0
2023-01-24,188.27,194.95,188.2,192.65,49620410.0
2023-01-25,189.125,193.7,185.8,193.23,44953711.0
2023-01-26,197.01,201.66,192.78,198.02,48953542.0
2023-01-27,194.62,206.28,194.05,203.65,54214198.0
2023-01-30,199.5,201.4,191.5,191.62,48861115.0
2023-01-31,191.695,196.87,189.5,195.37,49801658.0
2023-02-01,196.91,211.92,196.11,209.43,66047704.0
2023-02-02,210.0,219.49,207.0,217.09,56427580.0
2023-02-03,210.0,217.4499,207.89,211.0,42936595.0
2023-02-06,208.06,215.7,207.86,210.89,45219709.0
2023-02-07,213.82,222.59,211.5,221.73,66414961.0
2023-02-08,223.87,228.78,220.0801,222.05,55965122.0
2023-02-09,226.06,230.2,221.2,223.37,52387578.0
2023-02-10,216.9,220.7764,208.11,212.65,55073675.0
2023-02-13,215.38,220.48,209.62,217.88,47491862.0
2023-02-14,215.78,230.488,213.66,229.71,67547350.0
2023-02-15,225.49,228.55,221.06,227.64,42118826.0
2023-02-16,221.33,225.5,219.268,220.02,41202628.0
2023-02-17,216.31,217.4,209.75,213.88,46588764.0
2023-02-21,210.0,214.938,206.18,206.55,41001455.0
2023-02-22,207.07,211.04,204.21,207.54,51318432.0
2023-02-23,234.4,238.88,230.25,236.64,111799541.0
2023-02-24,232.25,234.74,229.47,232.86,58971591.0
2023-02-27,236.7,238.7994,234.54,235.01,45299367.0
2023-02-28,233.72,238.25,232.06,232.16,45596280.0
2023-03-01,231.92,232.5557,225.08,226.98,46002562.0
2023-03-02,224.88,233.804,224.32,233.14,39007465.0
2023-03-03,233.2,239.0,231.3,238.9,41239330.0
2023-03-06,238.91,242.48,234.87,235.54,43742923.0
2023-03-07,236.0,241.25,232.41,232.88,51515388.0
2023-03-08,234.87,242.0,234.235,241.81,51357339.0
2023-03-09,241.75,244.54,233.8284,234.36,50125699.0
2023-03-10,234.09,236.27,227.26,229.65,47486565.0
2023-03-13,227.52,232.98,222.97,229.66,42189032.0
2023-03-14,234.96,242.19,234.6,240.63,47491013.0
2023-03-15,237.61,242.86,233.6,242.28,52448574.0
